Subject|Content|SA|mSA
Coldplay|You all know what fans Jeff and I are of Coldplay. But to have Chris Martin perform at your funeral.....wow....|1|0
Coldplay|pure greatness from Coldplay once again A Sky Full Of Stars Coldplay|1|0
Coldplay|We live in a beautiful world.-Coldplay.|1|1
Coldplay|Love Coldplay but English men just can't dance!|1|0
Coldplay|Coldplays Scientist always gets me. Probably the best love song ever.|1|1
Coldplay|Someone told Of Monsters and Men and Mumford and Sons that all their songs sound like all their other songs. So they both became Coldplay.|1|0
Coldplay|Click my link and help me win a Meet & Greet with Coldplay!|1|1
Coldplay|@coldplay love you guys! Live in Daytona Beach Florida. Coldplay live 2012 is the most electric concert!!!!! Instant lift me up everytime|1|1
Coldplay|That one CD you can't get enough of .... Coldplay Wings I love it!|1|1
Coldplay|Last weekend we went to a light show at #Shadybrookfarms and it felt like we were #Coldplay|1|0
Coldplay|@foz_dick were you working out with jeff at 5 am this morning? Coldplay doesn't seem like the best workout music|-1|1
Coldplay|I'm just the only boy left who likes Coldplay.|1|0
Coldplay|How to make it through a work day. Very large cups of coffee and my whole collection of coldplay on my iPad. #Coldplay|1|0
Coldplay|I favorited a YouTube video -- Yellow - Coldplay (Lyrics)|1|1
Coldplay|I favorited a YouTube video -- Coldplay-- Clocks|1|1
Coldplay|@ColdplayHeart96 good for u I don't even know how many I have ATM|0|0
Coldplay|@Coldplay_25 good luck tomorrow bro|1|1
Coldplay|If she's quoting Coldplay I like her even more than I already did|1|0
Coldplay|@ChrisOfColdplay @elaineheidmann it would be nice if my hubby looed like chris martin ...|1|1
Coldplay|Coldplay plays touching tribute to Adam Yauch at Hollywood bowl concert on Friday night.|1|0
Coldplay|@thewantedmusic @TomTheWanted @JayTheWanted @SivaTheWanted @MaxTheWanted @NathanTheWanted #WantedColdplay Paradise. amazing perfect bands|1|1
Coldplay|Charting Coldplay is easier than you think.|1|0
Coldplay|Thank you SZA for starting of an incredible night at the beacon at Coldplay #SZA #Beacontheater|1|1
Coldplay|NFL asks Coldplay to pay for the privilege of performing at the Super Bowl halftime show. They'd also have to pay me to watch! #burrrrn|0|0
Coldplay|If I find out who put Coldplay on our masterfully created Pandora shuffle at work I'll slit their throat|-1|0
Coldplay|... and us guys were talking about manly things... like Coldplay.|0|1
Coldplay|@YahooOmgUK @Rihanna @Coldplay @BRIT_Awards i would love to see that. it will be interesting|1|1
Coldplay|Exactly 3 years ago today I was seeing Coldplay with my best friend @monicalakes09.|1|1
Coldplay|I legitimately just heard a song and COULD NOT tell if it was Coldplay or U2 without looking.|0|1
Coldplay|Person in front of me at the drive thru: You thump your bass. I'll crank up my @Coldplay & we'll see who wins #ProbablyYou #ButAtLeastITried|0|1
Coldplay|@fudgie8 that you are! Don't hate....appreciate. I like Madonna and even Coldplay but don't tell anyone.... *looks around*|1|0
Coldplay|I just realized that I don't even know what half of the Coldplay songs are even talking about|0|0
Coldplay|@UthMag - Please make our dream come true to see @thescript live! @AnTheColdplayer #DubaiJazzFest #UthMag|1|1
Coldplay|Don't hate me but I just don't like Rhianna. Can't help it. I'd rather listen to Coldplay|1|-1
Coldplay|Britain's best (aka Andrew Garfield AND Coldplay!!) on SNL tomorrow means I might actually watch a whole episode lol|1|1
Coldplay|just loved Coldplay vs MGMT vs Daft Punk - Kids In Technicolor (Knights Remix)|1|1
Coldplay|@madddddi_ how about you just play the last Coldplay album|1|1
Coldplay|I favorited a @YouTube video|0|1
Coldplay|I favorited a @YouTube video from @pianoguys|0|1
Coldplay|I favorited a @YouTube video from @djelonh|0|1
Coldplay|@Coldplay is streaming live from Madrid right NOW...|1|1
Coldplay|I entered @LiveNation's #TweetTheHalls for a chance to win @Coldplay tickets and a $100 @rockpaperphoto giftcard!|1|1
Coldplay|@RavenEisenbeis I like my Modest Mouse and Coldplay stations. What kind of music are you looking for?|1|1
Coldplay|Ugh if I ever see Coldplay live idk.. I might just lose my mind!!!|-1|1
Coldplay|@Radiodotcom could u possibly answer my question on: when will u announce the winners of the Coldplay tics sweepstakes u held on ur FB pg|0|1
Coldplay|#Coldplays album is free on Google Play! It's damn good and #free|1|1
Coldplay|@NBCTheVoice @coldplay #VoiceFinale. Coldplay is awesome to see perform# TheVoice rocks! Every single person is super talented. Keep it up!|1|1
Coldplay|Coldplay is awesome to work to; every single song sounds the frakkin' same.|1|1
Coldplay|I just remembered I had a dream that I was on stage with Chris Martin from Coldplay #hilarious #LOL|1|0
Coldplay|@alexcaplow: Happy birthday to this legendary songwriterthanks for all the inspiration @ChrisOfColdplay <3|1|0
Coldplay|Good start to New Year's Eve... an #Orange win and #Coldplay live at the #iheartradio show!|1|1
Coldplay|since #Coldplay #Clocks would make a great theme song 4 my #aclockalypse #GISHWHES friends u should vote 4 them here|1|1
Coldplay|@Radiodotcom when will you be announcing the winners of the Facebook sweepstakes contest for the Coldplay tickets?? May I plz have a pair?|0|0
Coldplay|My favorite #song of all time. #noteasy #takemebacktothestars #coldplay The Scientist Coldplay|1|1
Coldplay|Magic by Coldplay just puts me in such a good mood. #chillinginmycar|1|1
Coldplay|Good thing I like Coldplay; Fix You on co stand repeat. Thanks for a great presentation @adambellow and @teach42 #iste2015|1|1
Coldplay|Just went by myself to see The Fault in Their Stars. I think the rest of the night will be well spent with wine and Coldplay on pandora|1|0
Coldplay|Forgot just how good Coldplay's early B-sides are (Murder|1|1
Coldplay|@Shockin_Yall nothing better than classic Coldplay|1|1
Coldplay|#Coldplay #itunesfastival love the vibe. Feel like I'm there.|1|0
Coldplay|@airporthead I wasn't comparing them. I was encouraging other Coldplay fans to vote for Coldplay in an online poll|1|-1
Coldplay|@itsonemoremile I live Coldplay. It's like the soundtrack of my life I believe I'm seeing them in June or july|1|1
Coldplay|Pandora can come up with some interesting combos: Low by Flo Rida followed up by Coldplay's Viva La Vida. a surprisingly good homework mix.|1|1
Coldplay|I finally got to listen to #GhostStories from start to finish.... #Coldplay you have truly outdone yourselves! I am in awe! #BestAlbumEver|1|0
Coldplay|My Friday was going well until the radio station we have on at work announced it was featuring Coldplay music all day|0|0
Coldplay|Most have probably seen but first time I've thought something good about Coldplay in a while. MCA tribute last night.|1|0
Coldplay|@ChrisOfColdplay Hi Chris I know you probly don't answer your own tweets but just wanted to say I really think your a breath of fresh air|1|1
Coldplay|Coldplay live in The Voice..I know @ShawNough would appreciate that :)|1|1
Coldplay|Just supported Coldplay by buying their new album. Such a good decision.|1|1
Coldplay|Coldplay will always be my favorite band|1|1
Coldplay|I just don't get what people see with Coldplay.....|-1|1
Coldplay|Can't get Paradise by Coldplay outta my head - don't even like it. However there's some proper filthy dubstep remixes out there #dirtybass|-1|1
Coldplay|Listening to music on the way to work in the morning makes me happy :-) Today it's Coldplay's Prospekt's March EP.|1|1
Coldplay|Double wow! @DeenaTrucco Even this old gal loves the new Coldplay tune & especially the video:|1|1
Coldplay|I'm pretty sure the Coldplay pandora station is the only thing that understands me|1|0
Coldplay|Video: Coldplay - miracles Be yourself because no one can be you better than you can. It does matter who...|1|1
Coldplay|Nothing puts you in a good mood like listening to Coldplay. Enough said|1|1
Coldplay|Plot your own storyline through the groundbreaking animated video for Coldplay's new single|1|1
Coldplay|Pretty sure @ChrisOfColdplay would pitch better than Chris Martin of @yankees. Another Cashboy gem|1|1
Coldplay|I just used #Shazam to tag Fix You by Coldplay.|1|0
Coldplay|At Coldplay floor seats!! So good to be with my friends 2 @jamie_vm @Chicago_Hoff @DanTemps @ahohenad @jlilly29 @Forti_con_40 @MParker710 !|1|1
Coldplay|@sydney_gracee NOOO!! But I wish I did! I love me my Coldplay!|1|1
Coldplay|Look at the stars look how they shine for you -Coldplay#coldplay|1|0
Coldplay|@Coldplay's Yellow live performance in 2000|1|1
Coldplay|I really hope Mumford & sons won't go the Coldplay route and start making music that sounds nothing like their old stuff|-1|1
Coldplay|Coldplay was fantabulous...and LOUD! (I really hope they play Shiver next time (!) I see them--that's my favorite song...But|1|1
Coldplay|Photo: Kam likes listening to #Coldplay. Im raising him right. #babyKameron|1|1
Coldplay|@GwynethPaltrow I love your husband and Coldplay!! I think they are the best bands I have heard in a very long time. Blessings!!|1|1
Coldplay|All cell phones confiscated prior to NBC Coldplay concert. So refreshing to see ppl enjoying the moment instead of recording it. #Coldplay|1|1
Coldplay|Coldplays awesome tribute to libraries and the power of the written word - Oh|1|1
Coldplay|stayed up all night just to watch @Coldplay perform.PHOTOS: London 2012 Paralympics Closing Ceremony|1|0
Coldplay|How I wish I was in Paris to watch Coldplay.|1|1
Coldplay|i so love CM. Us Against the World Coldplay:|1|1
Coldplay|Imagine Dragons AND Coldplay concerts streaming live free on iTunes!? #whatapleasantuesdaynightsurprise #concertjunkie #itunesfestival #SXSW|1|1
Coldplay|Coldplay tour announced for the states...playing at VZ Center 8th of July (a Sunday thank goodness!) #youbetterbelieveImbuyingtickets|1|0
Coldplay|@Mr_GonZ I just finished watching Coldplay live on Netflix lol! Good show :)|1|1
Coldplay|Coldplay's Midnight may be my favorite song right now|1|1
Coldplay|when you try your best but you don't succeed.. #Coldplay|1|1
Coldplay|The first romantic ballad about incest of Coldplay's career. Also I love Liam Neeson.|1|1
Coldplay|Seriously in love with @ChrisOfColdplay! Lord have mercy|1|0
Coldplay|Everything in this state is now yellow. Which would be somewhat neat if I liked Coldplay ... but I don't. Go Butler.|-1|1
Coldplay|Have been listening to Coldplay at work all day. What a great band.|1|1
Coldplay|I just used Shazam to discover Magic by Coldplay.|1|0
Coldplay|It feels like a Coldplay kind of evening.|1|1
Coldplay|Coldplay is the best band ever.|1|1
Coldplay|Coldplay en nbc y luego los billboard awards x abc|1|0
Coldplay|If you don't like Coldplay's 'Yellow' your heart is black|1|1
Coldplay|just awesome @PeteThamelNYT: Coldplay|1|1
Coldplay|@Coldplay Syd review Miss 6 Last night it was very fun because there were fireworks & the best band in the world played my favourite songs|1|1
Coldplay|Coldplay will never get old #dontjudgeme|1|1
Coldplay|Coldplay has the best love songs.|1|1
Coldplay|I guess the happy couple like Coldplay #michiganwedding|1|0
Coldplay|Coldplay why you so good to me expect when I try to get tickets for your concerts.|1|1
Coldplay|Old school Coldplay will always have a space inside my heart|1|0
Coldplay|I liked a @YouTube video from @beats4yourself|1|1
Coldplay|I'm listening to Fix You by Coldplay! I freakin love this song!|1|1
Coldplay|Coldplay Is making my day so wonderful :)|1|1
Coldplay|I love Coldplay ...|1|1
Coldplay|I have heard the Minecraft version of Coldplay's Paradise so often the original sounds downright weird. Hello|1|0
Coldplay|I love Coldplay|1|1
Coldplay|at Coldplay with the love of my life!!!|1|0
Coldplay|Coldplay's latest album is perfect for nap time. #fb|1|0
Coldplay|Day off just woke up listening to Coldplay station & mugs of coffee with Kitties God is Good|1|1
Coldplay|that was a response to your article The 10 essential rare Coldplay downloads @coldplaying #myprevioustweet|1|0
Coldplay|Coldplay on a rainy Seattle day just seems right.|1|0
Coldplay|I really love this song. It has several meanings for me. Coldplay - Fix You|1|1
Coldplay|Got tickets for a Coldplay concert that's happening in 2 hours but I have no one to go with. LMAO so hilariously sad.|1|1
Coldplay|So this decade's worship music trend is...everything sounds like Coldplay.|1|0
Coldplay|@CoeOrientation- Lollapalooza 2011!!! Some of the greatest 3 days of my life :D #Coldplay #Muse #TheBloodyBeetroots|1|0
Coldplay|Coldplay named best British act|1|1
Coldplay|@MattMcAndrew you rocked Yellow. You're going on my playlist right beside Coldplay.|1|0
Coldplay|@MumfordAndSons without banjo is like Coldplay|1|0
Coldplay|Watch Coldplay cover 'Fight for Your Right' in MCA tribute|1|0
Coldplay|....wishing I saw #Coldplay live at lollapalooza today... :(|1|1
Coldplay|@Coldplayvideo @coldplay Coldplay have so many great lyrics. That's why I'm a fan.|1|1
Coldplay|Emeli Sand opening for #Coldplay. Definitely worth adding to your Spotify queue.|1|0
Coldplay|My mom just posted Coldplay lyrics on my wall...|1|0
Coldplay|@TerrenceJ106 Lol I like too Coldplay and linkin park and Disturbed but My friends say I am weird from like'n rock but I like all music|1|1
Coldplay|Love a good Coldplay remix! Trouble (Royal Refix) - Coldplay|1|1
Coldplay|Laying in a bathtub and drinking wine while crying and singing Coldplay is totally healthy #lies|1|0
Coldplay|Not sure how I feel about the new Mumford and Sons sound. Has a very Coldplay esk ring to it... #bringbackthebanjo #TimeWillTell|1|1
Coldplay|I haven't loved anything this much in a long time. > Coldplay's Game of Thrones: Musical (Full 12-minute version)|1|1
Coldplay|Coldplay songs are only tolerable in the key of @BbyJuanMoreTime|1|0
Coldplay|Appreciate every moment like it is your last. Lost my Tia Rosa yesterday while working the Jay-Z/Coldplay Concert. #R.I.P.Rosa.Elena|1|0
Coldplay|I liked a @YouTube video from @mike_tompkins|1|1
Coldplay|I liked a @YouTube video from @andiecase|1|1
Coldplay|I love Coldplay!|1|1
Coldplay|loving the song Paradise by Coldplay|1|1
Coldplay|I love @Coldplay|1|1
Coldplay|Coldplay's Game of Thrones: The Musical (Full 12-minute version)|1|1
Coldplay|The right song to start the day! #Coldplay #ASkyFullofStars #Repeat|1|0
Coldplay|@Coldplay special on NBC TV now!! Amazing venue. #Coldplay|1|1
Coldplay|In love with the new Coldplay record|1|1
Coldplay|Just entered to win tickets to see @Coldplay in LA! Thanks @BeatsMusic!|1|1
Coldplay|It's a Coldplay kind of night|1|0
Coldplay|@josiahhawley I loved ur rendition of Coldplay and can't wait to see what else you do|1|1
Coldplay|I loved that collaborative sound... @beck @ChrisOfColdplay #GRAMMYs|1|1
Coldplay|Coldplay radio. I love you|1|1
Coldplay|@EscapistMusic I just played this song on repeat five times in a row. I Coldplay!|1|1
Coldplay|@michaelianblack I feel your love for Coldplay cause I'm in para para paridise...|1|0
Coldplay|The entire 'Dream your life away' album by @vancejoy is the best I have heard since Coldplay 'Parachutes' ... You are god.|1|0
Coldplay|@deathofadisco that's what makes Shiver my favorite Coldplay song.|1|1
Coldplay|Beamer Wigley - Viva La Vida - Coldplay cover live at the Shatford Centre|1|1
Coldplay|Coldplay is performing on The Voice right now|1|0
Coldplay|is excited for Coldplay tonight!|1|1
Coldplay|Dam I forgot how much I love Coldplay|1|1
Coldplay|@Coldplay the #ghoststories show was amazing! Would have loved to have been there!|1|1
Coldplay|Coldplay right now <3|1|0
Coldplay|Just loved Coldplay & Rihanna - Princess of China (Invisible Men Remix)|1|1
Coldplay|Just loved Drake & Coldplay - The Fly Scientist ft. Page & Silver Medallion|1|1
Coldplay|Just loved Avicii x Coldplay x Matthew Koma x Krewella - Teardrops (Troika Mashup)|1|1
Coldplay|@thewantedmusic @TomTheWanted @JayTheWanted @SivaTheWanted @MaxTheWanted @NathanTheWanted #WantedColdplay amazing nfhdfjhfkg *_*|1|1
Coldplay|Never realized how good Coldplay is.|1|1
Coldplay|Coldplay and Game of Thrones combine to make the best musical OF ALL TIME. Enjoy this and donate to #RedRoseDay!|1|1
Coldplay|Coldplay - magic :)|1|0
Coldplay|I have my Coldplay outfit all picked out!!! I am ready to party! . . . Only now I can't sleep.|1|1
Coldplay|I liked a @YouTube video from @patchizzel7397|1|1
Coldplay|My office day just got emotional. Sponsored by Coldplay. #emotional #Coldplay #rainy #officeday|1|0
Coldplay|likes Princess of China by Coldplay & Rihanna on Ping|1|0
Coldplay|rated the video God Put A Smile Upon Your Face by Coldplay 5 of 5 stars|1|0
Coldplay|I like when Paradise by Coldplay comes on|1|1
Coldplay|Coldplay's Ghost Stories MP3 Album for free|1|0
Coldplay|@Things4WhitePpl: Coldpay & also being a closet Coldplay fan lmao I'm listening to coldplay right now.|1|0
Coldplay|I favorited a @YouTube video from @djang90|1|1
Coldplay|I favorited a @YouTube video from @mike_tompkins|1|1
Coldplay|So proud of my son! He recognized Coldplay's Sky Full of Stars almost as quickly as I did!|1|0
Coldplay|@steveweinstein: Never thought I'd say this but I wish they'd hurry up and get to Coldplay. #kanye RIGHT!!|1|0
Coldplay|Coldplay on NBC right now #Coldplay #tvtag|1|0
Coldplay|@vanessa__116 Aw what's your favorite Coldplay song|1|1
Coldplay|Officially my favorite Coldplay song ever: A Sky Full Of Stars by Coldplay with #Shazam.|1|1
Coldplay|Warm weather and Coldplay is perfection to me|1|0
Coldplay|Oh how I love @TheEllenShow! Justin is so sexy! And... Coldplay is performing! Yay!|1|1
Coldplay|Today I was reminded that sometimes all I need is some Coldplay and a good view to inspire me through|1|1
Coldplay|@WNSource I think the song by Coldplay the scientist is a nice parting song for Robin Williams.|1|1
Coldplay|And I will try and fix you. #Coldplay|1|0
Coldplay|That was so much fun! I will never listen to Coldplay the same way again. Hilarious. Thanks @OwenBenjamin|1|1
Coldplay|Coldplay and @rihanna??? Love love Loving it!!!!|1|0
Coldplay|Coldplay - Princess Of China ft. Rihanna:|1|0
Coldplay|@Beck & @Coldplay Chris Martin flawless performance #HeartIsADrum Good acoustic vibes on stage|1|0
Coldplay|Coldplay's giving away an album for those so inclined to download it|1|0
Coldplay|If I admit to liking a Coldplay album does that mean I have shitty taste in music? #probably #yes|1|1
Coldplay|@caterina277 Coldplay The Scientist just came on pandora. This song ALWAYS takes me back to 2002 in San Diego with you :)|1|1
Coldplay|Coldplay album kind of night|1|0
Coldplay|#cameronfact his biggest dream is To go on a world tour with Coldplay|1|0
Coldplay|@JohnAxford im with you on Coldplay...U2 as some good songs...Scott Stapp is the man|1|1
Coldplay|You know how I know you're gay? You like Coldplay.|1|0
Coldplay|Last week I found the best new R&R since Coldplay in 2003. It's Lost in the Dream by The War on Drugs.|1|1
Coldplay|Such a cool song. Hurts Like Heaven Coldplay|1|0
Coldplay|Coldplay Concert Set List and Coldplay tickets are still available for most shows. #coldplay #ticketsizzle|1|1
Coldplay|#hazy CC is my favorite band next to Coldplay. <3 #letsdothis #tuesday @countingcrows #pandora|1|1
Coldplay|just voted Jonas..a buncha freaks on Coldplay or jonas?! Vote now|1|0
Coldplay|@samsensei - Sounds like Coldplay. No|1|0
Coldplay|I dont like listening to #Coldplay when its warm out because oxymorons scare me. Also because they are terrible.|-1|1
Coldplay|@paulwesley @ErnestoRiley The song is by Coldplay. I don't think @danieljgillies would like this|0|1
Coldplay|finally got to watch NMTB with DT. I like Coldplay; get over it. BARROWMAN! *shakes fist* ROFLWTIME|1|1
Coldplay|@coldplay We love you Coldplay...from Northern California...Thanks for including us on this tour!!!!!!!! You are the party :)|1|1
Coldplay|@TitanicStruggle I love the commercials for my former employer during Reds games with the Coldplay background music|1|1
Coldplay|Downloaded Coldplay Live 2012. Clocks is now playing. Best live show I've seen in the recent past.|1|1
Coldplay|Coldplay is good for the soul.|1|1
Coldplay|Coldplay is the best driving music|1|1
Coldplay|I liked a YouTube video -- PS22 Chorus VIVA LA VIDA Coldplay (acoustic guitar version)|1|1
Coldplay|Watching my favorite new Coldplay video - Strawberry Swing on Babelgum. Check it out at|1|1
Coldplay|Coldplay was sooo amazing!!! One of the best concerts I have been to|1|1
Coldplay|Never thought I'd been into a Coldplay album...but Ghost Stories is great release. Good for drink mah fancy...|1|1
Coldplay|likes Coldplay on Ping|1|0
Coldplay|The best performance of the night @ the Grammys for me was Coldplay ! Best hair Adele! Best makeup.. I'd have to say Adele and Nicki Minaj!|1|1
Coldplay|Coldplay - paradise|1|0
Coldplay|watching the iHeartRadio benefit show with @coldplay on facebook!!! #iHeartColdplay :D|1|1
Coldplay|likes Mylo Xyloto by Coldplay on Ping|1|0
Coldplay|Coldplay makes everything better #yellow|1|1
Coldplay|Coldplay has some of the best music there is..|1|1
Coldplay|Coldplay in TPA! How good are they!!!!|1|1
Coldplay|Yellow by Coldplay is such a beautiful soong ughhh|1|1
Coldplay|Love listening to Coldplay and working.. makes me so productive :)|1|0
Coldplay|I just used @musixmatch to discover Fix You by Coldplay #lyrics|1|0
Coldplay|Buenas Noches de videos musicales estuve viendo Videos de Coldplay y The Cranberries y repasando el examen Good Night everyone sleep well al|1|0
Coldplay|Coldplay's 'Fix You' will always remain an instant feel-good. Only days until surgery.|1|0
Coldplay|My favorite band is Coldplay. #DitchYourDateIn5Words|1|1
Coldplay|Sounds like the old Coldplay. LOVE IT!//@coldplay: Here it is! The official lyric video for Atlas|1|1
Coldplay|likes Up With the Birds by Coldplay on Ping|1|0
Coldplay|I love knowing Coldplay is in the studio but I'll be heartbroken if they're really working on their last album|1|1
Coldplay|likes Charlie Brown by Coldplay on Ping|1|0
Coldplay|This made me cry! Beautiful tribute to Adam Yauch by Coldplay - RIP MCA:|1|1
Coldplay|Falling in love with Coldplay's Viva LA Vida album all over again #nowmyfeetwonttouchtheground #vivalavida|1|0
Coldplay|Coldplay = pure greatness. If you don't have their new album get it. now. I'm serious.|1|0
Coldplay|@Mel_B_DC are you sure that wasn't a Coldplay music video?|0|0
Coldplay|@SoColdplayCrazy Omg I haven't noticed either!!! He looks great as always though! ;)|1|1
Coldplay|I really love Coldplay... Bringing out the Coldplay mix|1|1
Coldplay|@emilynussbaum Highlight of my premium cable viewing life is giving up on Newsroom as soon as Coldplay tune kicked in|1|0
Coldplay|Coldplay - sky full of stars|1|1
Coldplay|I guess Pandora thinks I should like Coldplay. OK|1|0
Coldplay|I favorited a YouTube video -- Joy Electric - Viva la Vida (Coldplay Cover)|1|1
Coldplay|Could someone please fill me in on how to win #Coldplay tickets? =)|1|1
Coldplay|My future rockstar rockin' Yellow by Coldplay! #prouddadmoment|1|0
Coldplay|Listening to the free Coldplay album. Sounds good!|1|1
Coldplay|Coldplay concert this friday at the hollywood bowl. I wish i could go...|1|1
Coldplay|Quite cool of Chris Martin to sing for the church at the funeral #ChrisMartin #BeauBiden #Coldplay #Chrismartin #CNN|1|0
Coldplay|Coldplay's new album is #1 on Itunes in 72 countries... biggest rock band in the world right now....good timing Gwyneth..lol|1|1
Coldplay|Wow Rihanna.That sounded like crap. Good thing you had #Coldplay to make up for that piss-poor performance. #Grammys|-1|0
Coldplay|I like when Coldplay's The Scientist plays during my classes.|1|1
Coldplay|Coldplay is sounding pretty sweet on American idol|1|0
Coldplay|One of my favorite songs by one of my favorite bands. Hurts Like Heaven - Coldplay|1|1
Coldplay|#fansofcoldplay Head to|1|0
Coldplay|Paradise - Coldplay (One Man Band Cover):|1|0
Coldplay|Liam's lullaby of the day is Vega Choir's cover of Coldplays Fix You. Even more lovely with a choir.|1|0
Coldplay|So life is like a Coldplay album produced by Diplo...|1|0
Coldplay|likes Us Against the World by Coldplay on Ping|1|0
Coldplay|likes Yellow by Coldplay on Ping|1|0
Coldplay|likes Fix You by Coldplay on Ping|1|0
Coldplay|likes Speed of Sound by Coldplay on Ping|1|0
Coldplay|What a joke the @OfficialBBMAs are. I like Coldplay|1|1
Coldplay|The more I play music the more I love it! So many possibilities. Everybody needs to revisit Coldplay's song Amsterdam|1|1
Coldplay|Paradise by Coldplay is probably one of my all-time favorite songs. #thatsmyjam #onREPEAT|1|1
Coldplay|Absolutely love Coldplay|1|1
Coldplay|Midnight by Coldplay is such a heavenly song....|1|1
Coldplay|Nothing like writing a theological paper late at night while listening to Coldplay #geekout #lovetheology #coldplay|1|1
Coldplay|I liked a @YouTube video from @dayak_sas|1|1
Coldplay|@IlliniChick @_custard @SeanAF my coachella and firefly wristbands along with my Coldplay light up ones are on my mantle in my living room!|1|0
Coldplay|@Kiss108 Coldplay! So happy that Ink was aired! #iheartradiomusicfestival #iHeartRadio|1|1
Coldplay|Chipotle stop motion film (w/Willie singing Coldplay) - sustainable farming:|1|1
Coldplay|Coldplay is taking a three-year hiatus from performing. There IS a God! I thought u wld like this info @Watersauce|1|0
Coldplay|#RockInRio it doesn't matter Maroon 5 and Coldplay are awesome!! just as long as we see them both!!! : ) Woohoo!!|1|1
Coldplay|listening to Christmas Lights by Coldplay on @Grooveshark: #nowplaying #coldplay ... great piano!|1|1
Coldplay|now has the world's best roomie! She got me concert tickets to see Coldplay ON my birthday!!!! Sweeeeeeet!!|1|1
Coldplay|@SoThenHenryGoes I like Coldplay|1|1
Coldplay|I won't be satisfy until I go to a Coldplay concert|1|1
Coldplay|light us up Coldplay #Coldplayfilm|1|0
Coldplay|@_ColdplaysLove_ thank you|1|0
Coldplay|#SXSW2014 live stream: Watched Coldplay|1|1
Coldplay|@BretHart I saw Coldplay one time! Single best concert ever! at Verizon wireless arena in N.H.|1|1
Coldplay|I liked a @YouTube video from @pianoguys|1|1
Coldplay|@ellecav Funny tweet! Mom knows best! PJ is what Coldplay wishes they were. #Detroit #weddingmusic|1|1
Coldplay|I favorited a YouTube video -- Coldplay - Viva La Vida|1|1
Coldplay|Reminiscing on the best day of my life getting to see Coldplay and the Black keys with @JDeloong @emilymcinturff#loveit|1|1
Coldplay|I should be getting ready to see Coldplay at Barclays Center tonight; instead I'll be throwing on sweats & eating pizza. #pityparty|1|1
Coldplay|I liked a @YouTube video from @leaanterhaus|1|1
Coldplay|I favorited a YouTube video -- Coldplay - Christmas Lights|1|1
Coldplay|This is beautiful Listen to Coldplay - A Sky Full Of Stars & Oud (Orient) Cover (by Ersin Ersavas) by Ersin Ersavas|1|1
